test_id,PM2.5,PM10,O3
dongsi_aq#0,44.005828666145675,121.74769777328413,53.819565394543325
dongsi_aq#1,48.03162423570957,115.10661891148399,57.44684855359806
dongsi_aq#2,46.06604256477757,115.58951391194641,79.08653176816372
dongsi_aq#3,46.95818027540805,105.07401833689943,103.17274301497685
dongsi_aq#4,50.579003877699954,113.77308761348402,119.98416633200529
dongsi_aq#5,47.278842989524506,108.11700562116944,149.22940212015885
dongsi_aq#6,44.192907690042645,109.71868561581249,163.80456568814674
dongsi_aq#7,44.648028933026296,103.69910639205358,182.6535741274443
dongsi_aq#8,45.31125511377046,108.8118979062204,191.9585957275482
dongsi_aq#9,47.80726023214746,117.60385580162136,190.17934958902032
dongsi_aq#10,43.62946618626307,117.216965444252,187.43552881706663
dongsi_aq#11,53.34460442120504,125.78904510400551,172.91793144492704
dongsi_aq#12,52.42198953781554,134.32501437091184,159.14420424986696
dongsi_aq#13,52.526176506686284,138.1431726032574,136.8335023807787
dongsi_aq#14,57.21514859029505,153.63451880866097,116.77694044945729
dongsi_aq#15,70.1692238360033,150.72843316076006,106.60858684046782
dongsi_aq#16,64.45264311440019,152.7486207562801,87.94473404153932
dongsi_aq#17,67.22221255905541,152.43989877662622,76.36515676700573
dongsi_aq#18,70.22634054196884,146.28235226536654,54.521681438972614
dongsi_aq#19,62.13188298236489,143.9202389717983,40.95086756005333
dongsi_aq#20,71.46992960325741,151.3576386119258,32.64558002085585
dongsi_aq#21,68.86465688133819,165.67698239909004,34.87611717210293
dongsi_aq#22,70.879759381073,198.15820112128316,33.31095022507906
dongsi_aq#23,88.92655970659527,196.01017876650502,37.67469020874735
dongsi_aq#24,87.58477038374657,206.41879719789173,51.92872964449965
dongsi_aq#25,91.02941632675852,187.1470213117211,83.3143440924591
dongsi_aq#26,96.46581191996724,189.51176403267132,98.26889473087986
dongsi_aq#27,90.37687874865362,175.6861108751772,118.17584372267704
dongsi_aq#28,91.81494722589385,168.31534508513232,122.00365668832735
dongsi_aq#29,82.05415830301021,166.11341980880854,135.3426163577455
dongsi_aq#30,80.1431608633356,148.63322618468615,158.55663295445243
dongsi_aq#31,77.0931378890086,140.113797742348,167.92694545953353
dongsi_aq#32,82.75903766008234,143.20438627133214,154.82706922645306
dongsi_aq#33,75.80869521949275,137.877190326136,151.0983795518943
dongsi_aq#34,74.6016918768117,143.76280923040315,166.6953407388551
dongsi_aq#35,77.75597355168658,148.3798180045898,151.41542758059745
dongsi_aq#36,86.52656976898216,148.68912879226653,118.70509409019941
dongsi_aq#37,80.69597899966371,160.2299669080283,105.565743788763
dongsi_aq#38,91.09743465239329,149.73096497595085,91.13355004369602
dongsi_aq#39,81.13880994037875,147.72606228803502,76.78843224433427
dongsi_aq#40,83.64819775252222,147.91434841882398,66.15769948397303
dongsi_aq#41,82.13329470790296,138.61502823104505,52.24717975809593
