test_id,PM2.5,PM10,O3
dongsi_aq#0,44.005828666145675,121.74769777328413,53.819565394543325
dongsi_aq#1,48.03162423570957,115.10661891148399,57.44684855359806
dongsi_aq#2,46.066042564777575,115.58951391194641,79.08653176816372
dongsi_aq#3,46.95818027540805,105.07401833689943,103.17274301497685
dongsi_aq#4,50.579003877699954,113.77308761348402,119.98416633200527
dongsi_aq#5,47.2788429895245,108.11700562116944,149.22940212015885
dongsi_aq#6,44.192907690042645,109.71868561581249,163.80456568814674
dongsi_aq#7,44.648028933026296,103.69910639205358,182.6535741274443
dongsi_aq#8,45.31125511377046,108.8118979062204,191.9585957275482
dongsi_aq#9,47.80726023214746,117.60385580162136,190.17934958902032
dongsi_aq#10,43.62946618626307,117.216965444252,187.43552881706663
dongsi_aq#11,53.34460442120504,125.78904510400551,172.91793144492704
dongsi_aq#12,52.42198953781554,134.32501437091184,159.14420424986696
dongsi_aq#13,52.526176506686284,138.1431726032574,136.8335023807787
dongsi_aq#14,57.21514859029505,153.63451880866097,116.77694044945729
dongsi_aq#15,70.1692238360033,150.72843316076006,106.60858684046782
dongsi_aq#16,64.45264311440019,152.7486207562801,87.9447340415393
dongsi_aq#17,67.22221255905541,152.43989877662622,76.36515676700573
dongsi_aq#18,70.22634054196884,146.28235226536654,54.52168143897261
dongsi_aq#19,62.13188298236489,143.9202389717983,40.95086756005333
dongsi_aq#20,71.46992960325741,151.3576386119258,32.64558002085585
dongsi_aq#21,68.86465688133819,165.67698239909004,34.87611717210293
dongsi_aq#22,70.879759381073,198.15820112128318,33.31095022507906
dongsi_aq#23,88.92655970659527,196.01017876650502,37.67469020874735
dongsi_aq#24,91.34461741108095,190.7578471129977,43.11519768317061
dongsi_aq#25,91.8297577469027,189.28213985025081,60.65380246278769
dongsi_aq#26,94.62087891216044,185.100065751429,96.40694044404484
dongsi_aq#27,93.53955598830565,190.26993059067658,121.89660539612908
dongsi_aq#28,92.1980961139548,187.87100521534992,148.18178410474925
dongsi_aq#29,91.19359597307043,186.9509248719413,170.46079446268325
dongsi_aq#30,87.41952338107265,179.09597053600902,173.60914725505742
dongsi_aq#31,82.85723441171129,162.69843857190057,179.01875863115086
dongsi_aq#32,85.38633798720804,150.7314760309126,175.21201005842914
dongsi_aq#33,83.89359456491343,153.30789474987117,165.4501744706296
dongsi_aq#34,87.9050568217191,158.7374841302725,151.96682693031147
dongsi_aq#35,90.34861769123957,162.37557220179164,139.4489917117939
dongsi_aq#36,92.34799160956551,169.22846062879591,115.5737475591069
dongsi_aq#37,96.17993969571995,169.3312468793481,98.06438843452517
dongsi_aq#38,93.11827861979219,158.9856606695844,80.65176496652495
dongsi_aq#39,93.06521265579657,153.73627794534596,70.0099228257276
dongsi_aq#40,88.35315074030821,146.79973042988794,63.216228805766534
dongsi_aq#41,86.54915480220073,142.46202786858308,55.43229674795274
